FILENAME,ACQUISITION TIME,DAY OR NIGHT,MIN TEMPERATURE,MAX TEMPERATURE,MEAN TEMPERATURE,STD OF TEMPERATURE
clipped_day_MOD11B3.A2000032.h19v03.006.2015168203955.tif,2000-02-01,day,280.239990234375,283.239990234375,282.3079833984375,0.8399642705917358
-1,-1,-1,280.239990234375,283.239990234375,282.3079833984375,0.8399642705917358
clipped_day_MOD11B3.A2000061.h19v03.006.2015160141747.tif,2000-03-01,day,277.0199890136719,281.7799987792969,279.12664794921875,1.2011741399765015
clipped_day_MOD11B3.A2000092.h19v03.006.2015160141857.tif,2000-04-01,day,296.05999755859375,299.2799987792969,297.4333190917969,0.9332005381584167
clipped_day_MOD11B3.A2000122.h19v03.006.2015160142029.tif,2000-05-01,day,298.0199890136719,302.5799865722656,300.95330810546875,1.2168939113616943
clipped_day_MOD11B3.A2000153.h19v03.006.2015160142129.tif,2000-06-01,day,301.6000061035156,306.7599792480469,303.7599792480469,1.4259454011917114
clipped_day_MOD11B3.A2000183.h19v03.006.2015160142255.tif,2000-07-01,day,293.7599792480469,300.5,296.7986145019531,2.2902181148529053
clipped_day_MOD11B3.A2000214.h19v03.006.2015160142439.tif,2000-08-01,day,295.8399963378906,301.41998291015625,299.13067626953125,1.5651859045028687
clipped_day_MOD11B3.A2000245.h19v03.006.2015160142534.tif,2000-09-01,day,289.7599792480469,292.5199890136719,291.5320129394531,0.8058048486709595
clipped_day_MOD11B3.A2000275.h19v03.006.2015160142639.tif,2000-10-01,day,288.44000244140625,290.1000061035156,289.4319763183594,0.44113945960998535
clipped_day_MOD11B3.A2000306.h19v03.006.2015160142806.tif,2000-11-01,day,279.41998291015625,282.3599853515625,280.8572998046875,0.798022985458374
clipped_day_MOD11B3.A2000336.h19v03.006.2015160142907.tif,2000-12-01,day,275.41998291015625,277.2200012207031,276.4360046386719,0.45150116086006165
clipped_day_MOD11B3.A2001001.h19v03.006.2015160143037.tif,2001-01-01,day,272.6199951171875,274.0799865722656,273.3253173828125,0.43472155928611755
clipped_day_MOD11B3.A2001032.h19v03.006.2015160143134.tif,2001-02-01,day,272.41998291015625,277.1600036621094,274.78131103515625,1.3093191385269165
clipped_day_MOD11B3.A2001060.h19v03.006.2015160143303.tif,2001-03-01,day,278.8999938964844,282.1999816894531,280.8466796875,0.9905863404273987
clipped_day_MOD11B3.A2001091.h19v03.006.2015160143431.tif,2001-04-01,day,290.0400085449219,296.44000244140625,293.0133361816406,1.9311162233352661
clipped_day_MOD11B3.A2001121.h19v03.006.2015160143525.tif,2001-05-01,day,296.0,300.8999938964844,298.5626525878906,1.3845208883285522
clipped_day_MOD11B3.A2001152.h19v03.006.2015160143701.tif,2001-06-01,day,291.3599853515625,295.4599914550781,293.60931396484375,1.3087372779846191
clipped_day_MOD11B3.A2001182.h19v03.006.2015160143816.tif,2001-07-01,day,299.79998779296875,303.739990234375,301.83062744140625,1.2309083938598633
-1,-1,-1,299.79998779296875,303.739990234375,301.83062744140625,1.2309083938598633
clipped_day_MOD11B3.A2001213.h19v03.006.2015160143917.tif,2001-08-01,day,298.5,302.3999938964844,300.5786437988281,1.1038206815719604
clipped_day_MOD11B3.A2001244.h19v03.006.2015160144050.tif,2001-09-01,day,286.3599853515625,292.67999267578125,289.86663818359375,1.5212759971618652
clipped_day_MOD11B3.A2001274.h19v03.006.2015160144208.tif,2001-10-01,day,281.55999755859375,288.0199890136719,285.96002197265625,1.6598762273788452
clipped_day_MOD11B3.A2001305.h19v03.006.2015160144312.tif,2001-11-01,day,275.5199890136719,278.1600036621094,277.4373474121094,0.7658010125160217
clipped_day_MOD11B3.A2001335.h19v03.006.2015160144442.tif,2001-12-01,day,264.32000732421875,268.5199890136719,266.2346496582031,1.2349233627319336
clipped_day_MOD11B3.A2002001.h19v03.006.2015160144612.tif,2002-01-01,day,262.1600036621094,277.9599914550781,272.9266357421875,4.339903354644775
clipped_day_MOD11B3.A2002032.h19v03.006.2015160144711.tif,2002-02-01,day,276.8599853515625,279.0799865722656,278.2013244628906,0.6331082582473755
clipped_day_MOD11B3.A2002060.h19v03.006.2015160144844.tif,2002-03-01,day,283.239990234375,286.239990234375,284.5719909667969,0.8577421307563782
clipped_day_MOD11B3.A2002091.h19v03.006.2015160144938.tif,2002-04-01,day,287.4599914550781,292.6999816894531,289.9146423339844,1.4230413436889648
clipped_day_MOD11B3.A2002121.h19v03.006.2015160145102.tif,2002-05-01,day,299.0400085449219,302.79998779296875,300.8893127441406,1.04776132106781
clipped_day_MOD11B3.A2002152.h19v03.006.2015160145235.tif,2002-06-01,day,297.6399841308594,303.05999755859375,300.31463623046875,1.608518362045288
clipped_day_MOD11B3.A2002182.h19v03.006.2015160145339.tif,2002-07-01,day,301.0,305.739990234375,303.361328125,1.2665423154830933
clipped_day_MOD11B3.A2002213.h19v03.006.2015160145514.tif,2002-08-01,day,300.32000732421875,303.7200012207031,302.2760314941406,1.060340166091919
clipped_day_MOD11B3.A2002244.h19v03.006.2015160145903.tif,2002-09-01,day,293.8599853515625,296.91998291015625,295.4693298339844,0.8601667284965515
clipped_day_MOD11B3.A2002274.h19v03.006.2015162092011.tif,2002-10-01,day,282.5799865722656,286.55999755859375,284.9133605957031,1.1956532001495361
clipped_day_MOD11B3.A2002305.h19v03.006.2015164024757.tif,2002-11-01,day,276.79998779296875,279.6600036621094,278.2706604003906,0.7632544636726379
clipped_day_MOD11B3.A2002335.h19v03.006.2015167140610.tif,2002-12-01,day,261.8399963378906,265.05999755859375,263.57464599609375,0.7858883738517761
