ACQUISITION TIME,MEAN TEMPERATURE
2000-02-01,274.9466552734375
2000-03-01,270.96932983398443
2000-04-01,281.9066467285156
2000-05-01,283.9626159667969
2000-06-01,287.7733154296875
2000-07-01,285.8706359863281
2000-08-01,287.5186462402344
2000-09-01,281.34133911132807
2000-10-01,281.32669067382807
2000-11-01,276.38397216796875
2000-12-01,270.54397583007807
2001-01-01,267.72930908203125
2001-02-01,266.24130249023443
2001-03-01,271.55599975585943
2001-04-01,279.37997436523443
2001-05-01,284.0479736328125
2001-06-01,281.57733154296875
2001-07-01,292.5626220703125
2001-08-01,290.38800048828125
2001-09-01,279.9093017578125
2001-10-01,280.8373413085937
2001-11-01,271.53732299804693
2001-12-01,262.80398559570307
2002-01-01,262.1146850585937
2002-02-01,272.53067016601557
2002-03-01,274.22665405273443
2002-04-01,276.70001220703125
2002-05-01,287.5693359375
2002-06-01,289.2013244628906
2002-07-01,292.1372985839844
2002-08-01,290.4373474121094
2002-09-01,285.2840270996094
2002-10-01,274.73599243164057
2002-11-01,272.24533081054693
2002-12-01,261.08267211914057
2003-01-01,262.9639892578125
2003-02-01,263.85867309570307
2003-03-01,270.67333984375
2003-04-01,275.81735229492193
2003-05-01,285.9999694824219
2003-06-01,288.1999816894531
2003-07-01,290.8973083496094
2003-08-01,288.5320129394531
2003-09-01,283.71331787109375
2003-10-01,273.49200439453125
2003-11-01,274.3280029296875
2003-12-01,271.19729614257807
2004-01-01,263.62664794921875
2004-02-01,265.55731201171875
2004-03-01,270.829345703125
2004-04-01,278.02133178710943
2004-05-01,281.69866943359375
2004-06-01,285.0799865722656
2004-07-01,289.1159973144531
2004-08-01,288.4679870605469
2004-09-01,283.1559753417969
2004-10-01,280.11602783203125
2004-11-01,272.40267944335943
2004-12-01,270.00933837890625
2005-01-01,269.75997924804693
2005-02-01,262.60128784179693
2005-03-01,268.7826538085937
2005-04-01,277.60665893554693
2005-05-01,283.9933166503906
2005-06-01,285.6533203125
2005-07-01,290.2853088378906
2005-08-01,287.7173156738281
2005-09-01,285.4440002441406
2005-10-01,277.96533203125
2005-11-01,271.26132202148443
2005-12-01,266.44534301757807
2006-01-01,254.6640167236328
2006-02-01,264.38934326171875
2006-03-01,264.56265258789057
2006-04-01,277.76931762695307
2006-05-01,283.1880187988281
2006-06-01,285.3559875488281
2006-07-01,292.8026428222656
2006-08-01,287.88397216796875
2006-09-01,286.1519775390625
2006-10-01,279.3280029296875
2006-11-01,275.5599975585937
2006-12-01,274.3746337890625
2007-01-01,270.9000244140625
2007-02-01,266.843994140625
2007-03-01,276.03863525390625
2007-04-01,278.50262451171875
2007-05-01,283.42266845703125
2007-06-01,288.7426452636719
2007-07-01,289.9239807128906
2007-08-01,288.3386535644531
2007-09-01,283.09466552734375
2007-10-01,277.26132202148443
2007-11-01,271.1519775390625
2007-12-01,268.1293334960937
2008-01-01,269.2786865234375
2008-02-01,270.8759765625
2008-03-01,273.16265869140625
2008-04-01,278.59335327148443
2008-05-01,282.67596435546875
2008-06-01,288.28399658203125
2008-07-01,289.3986511230469
2008-08-01,287.5293273925781
2008-09-01,285.12664794921875
2008-10-01,279.53866577148443
2008-11-01,274.67196655273443
2008-12-01,269.083984375
2009-01-01,263.70001220703125
2009-02-01,264.99600219726557
2009-03-01,270.0159912109375
2009-04-01,280.38800048828125
2009-05-01,282.1813049316406
2009-06-01,284.81732177734375
2009-07-01,288.6159973144531
2009-08-01,288.0386657714844
2009-09-01,284.1706848144531
2009-10-01,275.4666748046875
2009-11-01,273.91201782226557
2009-12-01,264.63467407226557
2010-01-01,256.30532836914057
2010-02-01,264.2413330078125
2010-03-01,272.06796264648443
2010-04-01,277.31600952148443
2010-05-01,284.37200927734375
2010-06-01,287.9253234863281
2010-07-01,292.7759704589844
2010-08-01,290.1346435546875
2010-09-01,282.51202392578125
2010-10-01,275.71200561523443
2010-11-01,272.90798950195307
2010-12-01,260.8866577148437
2011-01-01,263.78399658203125
2011-02-01,262.30532836914057
2011-03-01,271.85464477539057
2011-04-01,280.1600341796875
2011-05-01,284.4360046386719
2011-06-01,288.20001220703125
2011-07-01,288.6240234375
2011-08-01,289.6653137207031
2011-09-01,284.96002197265625
2011-10-01,278.0146484375
2011-11-01,273.38134765625
2011-12-01,270.91201782226557
2012-01-01,260.63198852539057
2012-02-01,262.1773681640625
2012-03-01,273.63864135742193
2012-04-01,278.306640625
2012-05-01,286.1000061035156
2012-06-01,287.0360107421875
2012-07-01,290.8160095214844
2012-08-01,287.7226257324219
2012-09-01,284.26666259765625
2012-10-01,276.28936767578125
2012-11-01,272.65866088867193
2012-12-01,265.67330932617193
2013-01-01,259.06399536132807
2013-02-01,262.7914428710937
2013-03-01,266.93466186523443
2013-04-01,278.10000610351557
2013-05-01,287.0359802246094
2013-06-01,288.91864013671875
2013-07-01,291.42132568359375
2013-08-01,289.16400146484375
2013-09-01,281.64398193359375
2013-10-01,279.33200073242193
2013-11-01,271.8106689453125
2013-12-01,271.57601928710943
2014-01-01,264.83599853515625
2014-02-01,271.24935913085943
2014-03-01,275.30929565429693
2014-04-01,279.18133544921875
2014-05-01,285.0199890136719
2014-06-01,286.7213134765625
2014-07-01,291.0173034667969
2014-08-01,287.8746337890625
2014-09-01,285.2906494140625
2014-10-01,278.79598999023443
2014-11-01,274.78399658203125
2014-12-01,269.8173217773437
2015-01-01,268.83465576171875
2015-02-01,269.98797607421875
2015-03-01,273.8226928710937
2015-04-01,276.80532836914057
2015-05-01,281.3253173828125
2015-06-01,287.73065185546875
2015-07-01,290.3266906738281
