date0,cc1,cc2,cc3
2016-01-03,27.5229357798165,37.7483443708609,20.3208556149732
2016-01-10,32.1100917431192,27.1523178807947,18.1818181818181
2016-01-17,35.7798165137614,26.4900662251655,17.1122994652406
2016-01-24,24.7706422018348,26.4900662251655,16.5775401069518
2016-01-31,27.5229357798165,39.0728476821192,14.9732620320855
2016-02-07,27.5229357798165,26.4900662251655,16.5775401069518
2016-02-14,24.7706422018348,34.4370860927152,14.4385026737967
2016-02-21,31.1926605504587,25.8278145695364,14.9732620320855
2016-02-28,24.7706422018348,21.8543046357615,12.2994652406417
2016-03-06,34.8623853211009,26.4900662251655,14.4385026737967
2016-03-13,22.9357798165137,19.8675496688741,11.7647058823529
2016-03-20,24.7706422018348,17.8807947019867,10.6951871657754
2016-03-27,35.7798165137614,31.7880794701986,11.7647058823529
2016-04-03,30.2752293577981,16.5562913907284,11.2299465240641
2016-04-10,20.1834862385321,23.841059602649,12.2994652406417
2016-04-17,27.5229357798165,13.9072847682119,11.7647058823529
2016-04-24,38.5321100917431,18.5430463576158,12.8342245989304
2016-05-01,27.5229357798165,21.1920529801324,13.3689839572192
2016-05-08,30.2752293577981,29.8013245033112,11.2299465240641
2016-05-15,26.6055045871559,21.1920529801324,11.2299465240641
2016-05-22,26.6055045871559,29.1390728476821,10.1604278074866
2016-05-29,22.0183486238532,19.8675496688741,10.6951871657754
2016-06-05,27.5229357798165,23.1788079470198,8.55614973262032
2016-06-12,32.1100917431192,28.4768211920529,10.6951871657754
2016-06-19,23.8532110091743,17.2185430463576,10.6951871657754
2016-06-26,27.5229357798165,18.5430463576158,9.62566844919786
2016-07-03,29.3577981651376,31.1258278145695,12.2994652406417
2016-07-10,31.1926605504587,23.1788079470198,12.2994652406417
2016-07-17,22.9357798165137,24.5033112582781,13.3689839572192
2016-07-24,20.1834862385321,25.1655629139072,10.1604278074866
2016-07-31,25.6880733944954,43.046357615894,12.2994652406417
2016-08-07,32.1100917431192,25.8278145695364,11.7647058823529
2016-08-14,24.7706422018348,32.4503311258278,12.8342245989304
2016-08-21,33.0275229357798,26.4900662251655,10.6951871657754
2016-08-28,17.4311926605504,16.5562913907284,12.2994652406417
2016-09-04,22.0183486238532,23.841059602649,11.2299465240641
2016-09-11,27.5229357798165,23.841059602649,13.3689839572192
2016-09-18,31.1926605504587,32.4503311258278,17.6470588235294
2016-09-25,24.7706422018348,20.5298013245033,18.7165775401069
2016-10-02,20.1834862385321,26.4900662251655,18.1818181818181
2016-10-09,31.1926605504587,25.8278145695364,24.5989304812834
2016-10-16,32.1100917431192,17.2185430463576,25.1336898395721
2016-10-23,22.0183486238532,31.1258278145695,21.3903743315508
2016-10-30,25.6880733944954,39.0728476821192,25.6684491978609
2016-11-06,30.2752293577981,39.7350993377483,24.0641711229946
2016-11-13,32.1100917431192,35.0993377483443,36.3636363636363
2016-11-20,32.1100917431192,48.3443708609271,39.0374331550802
2016-11-27,33.0275229357798,55.6291390728476,51.8716577540107
2016-12-04,27.5229357798165,50.9933774834437,52.9411764705882
2016-12-11,35.7798165137614,64.2384105960265,61.4973262032085
2016-12-18,20.1834862385321,32.4503311258278,32.0855614973262
2016-12-25,44.9541284403669,44.3708609271523,29.4117647058823
2017-01-01,31.1926605504587,35.7615894039735,27.2727272727272
2017-01-08,36.697247706422,36.4238410596026,22.9946524064171
2017-01-15,33.0275229357798,42.3841059602649,21.9251336898395
2017-01-22,44.9541284403669,44.3708609271523,22.9946524064171
2017-01-29,38.5321100917431,42.3841059602649,19.2513368983957
2017-02-05,36.697247706422,47.682119205298,24.0641711229946
2017-02-12,30.2752293577981,39.0728476821192,18.7165775401069
2017-02-19,26.6055045871559,29.1390728476821,18.1818181818181
2017-02-26,22.9357798165137,25.8278145695364,18.7165775401069
2017-03-05,31.1926605504587,33.1125827814569,16.0427807486631
2017-03-12,30.2752293577981,24.5033112582781,13.3689839572192
2017-03-19,27.5229357798165,33.1125827814569,12.8342245989304
2017-03-26,30.2752293577981,23.1788079470198,11.2299465240641
2017-04-02,36.697247706422,18.5430463576158,13.3689839572192
2017-04-09,31.1926605504587,23.1788079470198,13.3689839572192
2017-04-16,30.2752293577981,25.8278145695364,13.903743315508
2017-04-23,35.7798165137614,19.8675496688741,13.903743315508
2017-04-30,31.1926605504587,33.1125827814569,16.0427807486631
2017-05-07,35.7798165137614,27.1523178807947,13.3689839572192
2017-05-14,33.9449541284403,23.1788079470198,12.2994652406417
2017-05-21,29.3577981651376,19.8675496688741,11.7647058823529
2017-05-28,33.0275229357798,17.8807947019867,10.1604278074866
2017-06-04,20.1834862385321,27.8145695364238,9.62566844919786
2017-06-11,24.7706422018348,19.8675496688741,10.1604278074866
2017-06-18,33.0275229357798,31.1258278145695,13.3689839572192
2017-06-25,23.8532110091743,32.4503311258278,14.4385026737967
2017-07-02,27.5229357798165,29.1390728476821,12.8342245989304
2017-07-09,29.3577981651376,38.41059602649,14.4385026737967
2017-07-16,22.0183486238532,23.841059602649,11.7647058823529
2017-07-23,21.1009174311926,34.4370860927152,13.903743315508
2017-07-30,35.7798165137614,27.1523178807947,12.2994652406417
2017-08-06,32.1100917431192,27.1523178807947,14.4385026737967
2017-08-13,22.0183486238532,33.774834437086,12.8342245989304
2017-08-20,21.1009174311926,27.8145695364238,15.5080213903743
2017-08-27,32.1100917431192,28.4768211920529,16.0427807486631
2017-09-03,24.7706422018348,27.1523178807947,18.1818181818181
2017-09-10,19.2660550458715,37.0860927152317,18.1818181818181
2017-09-17,22.9357798165137,32.4503311258278,26.2032085561497
